 "albumid","album_title","artistid","artist_name","trackid","track_name","track_composer","track_milliseconds","track_bytes","track_unit_price","genreid","music_genre","mediatypeid","media_type","invoicelineid","invoice_line_unit_price","invoice_line_quantity","invoice_line_total","invoiceid","invoice_date","invoice_billing_address","invoice_billing_city","invoice_billing_country","invoice_billing_postal_code","invoice_billing_state","invoice_total","customerid","customer_first_name","customer_last_name","customer_company","customer_address","customer_city","customer_state","customer_country","customer_postal_code","customer_phone","customer_fax","customer_email","employee_first_name","employee_last_name","employee_title","employee_reports_to","employee_birth_date","employee_hire_date","employee_address","employee_city","employee_state","employee_country","employee_postal_code","employee_phone","employee_fax","employee_email"
2,Balls to the Wall,2,Accept,2,Balls to the Wall,,"342,562","5,510,424",0.99,1,Rock,2,Protected AAC audio file,1,0.99,1,0.99,1,2009-01-01 00:00:00,Theodor-Heuss-Straae 34,Stuttgart,Germany,"70174",,1.98,2,Leonie,Kahler,,Theodor-Heuss-Straae 34,Stuttgart,,Germany,"70174",+49 0711 2842222,,leonekohler@surfeu.de,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
3,Restless and Wild,2,Accept,4,Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffma","252,051","4,331,779",0.99,1,Rock,2,Protected AAC audio file,2,0.99,1,0.99,1,2009-01-01 00:00:00,Theodor-Heuss-Straae 34,Stuttgart,Germany,"70174",,1.98,2,Leonie,Kahler,,Theodor-Heuss-Straae 34,Stuttgart,,Germany,"70174",+49 0711 2842222,,leonekohler@surfeu.de,Steve,Johnso,Sales Support Agent,2,1965-03-03 00:00:00,2003-10-17 00:00:00,"7727B 41 Ave",Calgary,AB,Canada,T3B 1Y7,"1 (780) 836-9987","1 (780) 836-9543",
1,For Those About To Rock We Salute You,1,AC/DC,10,Evil Walks,"Angus Young, Malcolm Young, Brian Johnso","263,497","8,611,245",0.99,1,Rock,1,MPEG audio file,5,0.99,1,0.99,2,2009-01-02 00:00:00,Ullevalsveien 14,Oslo,Norway,"0171",,3.96,4,Bjar,Hanse,,Ullevalsveien 14,Oslo,,Norway,"0171",+47 22 44 22 22,,bjorn.hansen@yahoo.no,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
1,For Those About To Rock We Salute You,1,AC/DC,6,Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnso","205,662","6,713,451",0.99,1,Rock,1,MPEG audio file,3,0.99,1,0.99,2,2009-01-02 00:00:00,Ullevalsveien 14,Oslo,Norway,"0171",,3.96,4,Bjar,Hanse,,Ullevalsveien 14,Oslo,,Norway,"0171",+47 22 44 22 22,,bjorn.hansen@yahoo.no,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
1,For Those About To Rock We Salute You,1,AC/DC,8,Inject The Venom,"Angus Young, Malcolm Young, Brian Johnso","210,834","6,852,860",0.99,1,Rock,1,MPEG audio file,4,0.99,1,0.99,2,2009-01-02 00:00:00,Ullevalsveien 14,Oslo,Norway,"0171",,3.96,4,Bjar,Hanse,,Ullevalsveien 14,Oslo,,Norway,"0171",+47 22 44 22 22,,bjorn.hansen@yahoo.no,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
1,For Those About To Rock We Salute You,1,AC/DC,12,Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnso","263,288","8,596,840",0.99,1,Rock,1,MPEG audio file,6,0.99,1,0.99,2,2009-01-02 00:00:00,Ullevalsveien 14,Oslo,Norway,"0171",,3.96,4,Bjar,Hanse,,Ullevalsveien 14,Oslo,,Norway,"0171",+47 22 44 22 22,,bjorn.hansen@yahoo.no,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
4,Let There Be Rock,1,AC/DC,20,Overdose,AC/DC,"369,319","12,066,294",0.99,1,Rock,1,MPEG audio file,8,0.99,1,0.99,3,2009-01-03 00:00:00,Gratrystraat 63,Brussels,Belgium,"1000",,5.94,8,Daa,Peeters,,Gratrystraat 63,Brussels,,Belgium,"1000",+32 02 219 03 03,,daan_peeters@apple.be,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
5,Big Ones,3,Aerosmith,24,Love In An Elevator,"Steven Tyler, Joe Perry","321,828","10,552,051",0.99,1,Rock,1,MPEG audio file,9,0.99,1,0.99,3,2009-01-03 00:00:00,Gratrystraat 63,Brussels,Belgium,"1000",,5.94,8,Daa,Peeters,,Gratrystraat 63,Brussels,,Belgium,"1000",+32 02 219 03 03,,daan_peeters@apple.be,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
4,Let There Be Rock,1,AC/DC,16,Dog Eat Dog,AC/DC,"215,196","7,032,162",0.99,1,Rock,1,MPEG audio file,7,0.99,1,0.99,3,2009-01-03 00:00:00,Gratrystraat 63,Brussels,Belgium,"1000",,5.94,8,Daa,Peeters,,Gratrystraat 63,Brussels,,Belgium,"1000",+32 02 219 03 03,,daan_peeters@apple.be,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
5,Big Ones,3,Aerosmith,36,Angel,"Steven Tyler, Desmond Child","307,617","9,989,331",0.99,1,Rock,1,MPEG audio file,12,0.99,1,0.99,3,2009-01-03 00:00:00,Gratrystraat 63,Brussels,Belgium,"1000",,5.94,8,Daa,Peeters,,Gratrystraat 63,Brussels,,Belgium,"1000",+32 02 219 03 03,,daan_peeters@apple.be,Margaret,Park,Sales Support Agent,2,1947-09-19 00:00:00,2003-05-03 00:00:00,"683 10 Street SW",Calgary,AB,Canada,T2P 5G3,+1 (403) 263-4423,+1 (403) 263-4289,
